time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,establishment_type_group,characteristic_sex,number_of_students,aps_per_entry,aps_per_entry_2013_2015,aps_per_entry_grade,aps_per_entry_grade_2013_2015,year_2013_2015,year
202021,Academic year,National,E92000001,England,Final,Converter academies - mainstream,All state-funded schools,All students,125536,41.3369,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Free schools,All state-funded schools,All students,2628,40.7731,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Free schools 16-19,All state-funded schools,All students,4149,42.6105,NA,B+, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Independent schools,All independent schools,All students,34578,49.4127,NA,A, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Independent special schools,All independent schools,All students,45,36.5441,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,LA maintained mainstream schools,All state-funded schools,All students,31327,40.6502,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Other FE sector colleges,All FE sector colleges,All students,20390,37.0849,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Sixth form colleges,All FE sector colleges,All students,33771,39.5062,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Sponsored academies - mainstream,All state-funded schools,All students,17761,38.5624,NA,B, ,NA,2021
202021,Academic year,National,E92000001,England,Final,Studio schools,All state-funded schools,All students,255,37.9067,NA,B-, ,NA,2021
202021,Academic year,National,E92000001,England,Final,University technical colleges (UTCs),All state-funded schools,All students,1261,36.0379,NA,B-, ,NA,2021
201920,Academic year,National,E92000001,England,Final,All FE sector colleges,All FE sector colleges,Female,34303,37.5194,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All independent schools,All independent schools,Female,17666,47.5223,NA,A-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All schools,All schools,Female,117107,41.073,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All institutions,All Institutions,Female,150650,40.3303,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All state-funded schools,All state-funded schools,Female,99423,39.8363,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All state-funded schools and colleges,All state-funded,Female,133074,39.2881,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Converter academies - mainstream,All state-funded schools,Female,67847,40.3158,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Free schools,All state-funded schools,Female,984,38.3253,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Free schools 16-19,All state-funded schools,Female,1827,41.5532,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Independent schools,All independent schools,Female,17659,47.5233,NA,A-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Independent special schools,All independent schools,Female,7,42.7273,NA,B+, ,NA,2020
201920,Academic year,National,E92000001,England,Final,LA maintained mainstream schools,All state-funded schools,Female,17831,39.4159,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Other FE sector colleges,All FE sector colleges,Female,14221,34.9022,NA,C+, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Sixth form colleges,All FE sector colleges,Female,20082,39.281,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Sponsored academies - mainstream,All state-funded schools,Female,10180,37.0573,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Studio schools,All state-funded schools,Female,140,39.2674,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,University technical colleges (UTCs),All state-funded schools,Female,354,34.4341,NA,C+, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All FE sector colleges,All FE sector colleges,Male,23743,35.6313,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All independent schools,All independent schools,Male,17294,45.5531,NA,A-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All schools,All schools,Male,98301,39.477,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All institutions,All Institutions,Male,121362,38.7874,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All state-funded schools,All state-funded schools,Male,80988,38.1219,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All state-funded schools and colleges,All state-funded,Male,104146,37.6049,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Converter academies - mainstream,All state-funded schools,Male,55410,38.6446,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Free schools,All state-funded schools,Male,919,35.8031,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Free schools 16-19,All state-funded schools,Male,1392,40.8582,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Independent schools,All independent schools,Male,17250,45.5674,NA,A-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Independent special schools,All independent schools,Male,44,35.4412,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,LA maintained mainstream schools,All state-funded schools,Male,14178,37.623,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Other FE sector colleges,All FE sector colleges,Male,9129,32.9647,NA,C+, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Sixth form colleges,All FE sector colleges,Male,14614,37.1863,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Sponsored academies - mainstream,All state-funded schools,Male,7941,35.1094,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Studio schools,All state-funded schools,Male,131,33.6028,NA,C+, ,NA,2020
201920,Academic year,National,E92000001,England,Final,University technical colleges (UTCs),All state-funded schools,Male,841,33.2355,NA,C+, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All FE sector colleges,All FE sector colleges,All students,58046,36.7442,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All independent schools,All independent schools,All students,34964,46.564,NA,A-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All schools,All schools,All students,215412,40.3462,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All institutions,All Institutions,All students,272015,39.6418,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All state-funded schools,All state-funded schools,All students,180411,39.0667,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,All state-funded schools and colleges,All state-funded,All students,237220,38.5477,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Converter academies - mainstream,All state-funded schools,All students,123257,39.5631,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Free schools,All state-funded schools,All students,1903,37.1087,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Free schools 16-19,All state-funded schools,All students,3219,41.247,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Independent schools,All independent schools,All students,34913,46.5721,NA,A-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Independent special schools,All independent schools,All students,51,36.4557,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,LA maintained mainstream schools,All state-funded schools,All students,32009,38.6225,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Other FE sector colleges,All FE sector colleges,All students,23350,34.1477,NA,C+, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Sixth form colleges,All FE sector colleges,All students,34696,38.3928,NA,B, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Sponsored academies - mainstream,All state-funded schools,All students,18121,36.2132,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,Studio schools,All state-funded schools,All students,271,36.762,NA,B-, ,NA,2020
201920,Academic year,National,E92000001,England,Final,University technical colleges (UTCs),All state-funded schools,All students,1195,33.5746,NA,C+, ,NA,2020
201819,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,Female,37094,32.5294,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,Female,17761,42.1206,NA,B+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All schools,All schools,Female,120224,35.1001,NA,B-,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,Female,154797,34.5797,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,Female,102442,33.7656,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Female,137151,33.5083,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,Female,68388,34.62,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,Female,738,29.6465,NA,C,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,Female,1570,38.1542,NA,B-,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,Female,17754,42.1213,NA,B+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,Female,7,39.1304,NA,B,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,Female,20347,32.8626,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,Female,14036,29.3122,NA,C,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,Female,23058,34.3848,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,Female,10641,29.2919,NA,C,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,Female,135,25.8597,NA,C-,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,Female,363,24.4312,NA,D+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,Male,26413,31.0548,NA,C,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,Male,17989,40.3521,NA,B,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All schools,All schools,Male,104741,33.7627,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,Male,128734,33.3104,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,Male,86734,32.2784,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Male,110843,32.069,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,Male,57224,33.1803,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,Male,756,29.9171,NA,C,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,Male,1360,38.0792,NA,B-,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,Male,17950,40.3715,NA,B,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,Male,39,23.8983,NA,D+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,Male,16939,31.4974,NA,C,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,Male,9276,27.4414,NA,C-,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,Male,17137,32.9115,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,Male,9136,27.2369,NA,C-,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,Male,216,25.0685,NA,C-,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,Male,920,22.4809,NA,D+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,All students,63507,31.9193,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,All students,35751,41.2441,NA,B,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All schools,All schools,All students,224966,34.4838,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,All students,283532,34.0076,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,All students,189176,33.091,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,All students,247994,32.8699,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,All students,125612,33.9692,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,All students,1494,29.7824,NA,C,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,All students,2930,38.1191,NA,B-,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,All students,35705,41.2544,NA,B,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,All students,46,26.383,NA,C-,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,All students,37286,32.2487,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,All students,23312,28.5719,NA,C,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,All students,40195,33.7607,NA,C+,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,All students,19777,28.3628,NA,C,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,All students,351,25.3669,NA,C-,NA,NA,2019
201819,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,All students,1283,23.0648,NA,D+,NA,NA,2019
201718,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,Female,43932,31.9052,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,Female,18179,42.1489,NA,B+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All schools,All schools,Female,123668,34.5148,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,Female,162983,33.9635,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,Female,105464,33.0848,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Female,145071,32.8423,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,Female,68199,33.9623,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,Female,491,29.2733,NA,C,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,Female,940,36.1714,NA,B-,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,Female,18169,42.1521,NA,B+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,Female,10,26.1905,NA,C-,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,Female,24173,32.3138,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,Female,15533,28.6104,NA,C,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,Female,28399,33.625,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,Female,10846,28.7401,NA,C,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,Female,125,23.995,NA,D+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,Female,438,20.7226,NA,D,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,Male,32619,30.0371,NA,C,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,Male,18349,40.461,NA,B,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All schools,All schools,Male,108363,33.1042,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,Male,136433,32.5603,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,Male,89990,31.4642,NA,C,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Male,118364,31.2098,NA,C,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,Male,57757,32.5216,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,Male,603,29.8156,NA,C,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,Male,806,36.9431,NA,B-,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,Male,18297,40.4867,NA,B,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,Male,52,26.2105,NA,C-,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,Male,20100,30.3987,NA,C,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,Male,10984,27.2604,NA,C-,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,Male,21635,31.3876,NA,C,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,Male,9236,26.5441,NA,C-,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,Male,241,20.3421,NA,D,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,Male,1063,19.9384,NA,D,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,All students,76552,31.1282,NA,C,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,All students,36532,41.3096,NA,B,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All schools,All schools,All students,232035,33.8655,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,All students,299420,33.3325,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,All students,195454,32.3509,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,All students,263436,32.12,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,All students,125956,33.3089,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,All students,1094,29.5696,NA,C,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,All students,1746,36.5293,NA,B-,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,All students,36470,41.3246,NA,B,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,All students,62,26.2085,NA,C-,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,All students,44273,31.4629,NA,C,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,All students,26517,28.0642,NA,C-,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,All students,50035,32.6815,NA,C+,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,All students,20082,27.7579,NA,C-,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,All students,366,21.6079,NA,D,NA,NA,2018
201718,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,All students,1501,20.1919,NA,D,NA,NA,2018
201617,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,All students,91729,30.03,NA,C,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,All students,38168,40.69,NA,B,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,All schools,All schools,All students,235654,33.07,NA,C+,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,All students,316202,32.39,NA,C+,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,All students,197423,31.45,NA,C,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,All students,278897,31.13,NA,C,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,All students,119639,32.55,NA,C+,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,All students,947,28.6,NA,C,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,All students,1654,34.94,NA,C+,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,All students,38110,40.7,NA,B,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,All students,58,26.44,NA,C-,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,All students,51824,30.38,NA,C,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,All students,28120,26.99,NA,C-,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,All students,63609,31.24,NA,C,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,All students,21029,27,NA,C-,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,All students,349,23.41,NA,D+,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,All students,1525,21.16,NA,D,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,Female,52365,30.93,NA,C,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,Female,18999,41.34,NA,B,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,All schools,All schools,Female,124785,33.83,NA,C+,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,Female,171468,33.12,NA,C+,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,Female,105770,32.35,NA,C+,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Female,152943,32,NA,C+,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,Female,64384,33.39,NA,C+,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,Female,421,29.21,NA,C,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,Female,903,34.85,NA,C+,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,Female,18988,41.35,NA,B,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,Female,11,25.24,NA,C-,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,Female,28010,31.29,NA,C,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,Female,16368,27.71,NA,C-,NA,NA,2017
201617,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,Female,35997,32.24,NA,C+,NA,NA,2017
